,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,7924.5498046875,7937.5498046875,7781.10009765625,7791.2998046875,7791.2998046875,134700
1,2016-01-05,7828.39990234375,7831.2001953125,7763.25,7784.64990234375,7784.64990234375,145200
2,2016-01-06,7788.0498046875,7800.9501953125,7721.2001953125,7741.0,7741.0,147100
3,2016-01-07,7673.35009765625,7674.9501953125,7556.60009765625,7568.2998046875,7568.2998046875,188900
4,2016-01-08,7611.64990234375,7634.10009765625,7581.0498046875,7601.35009765625,7601.35009765625,157400
5,2016-01-11,7527.4501953125,7605.10009765625,7494.35009765625,7563.85009765625,7563.85009765625,189000
6,2016-01-12,7587.2001953125,7588.2998046875,7487.7998046875,7510.2998046875,7510.2998046875,163900
7,2016-01-13,7557.89990234375,7590.9501953125,7425.7998046875,7562.39990234375,7562.39990234375,215200
8,2016-01-14,7467.39990234375,7604.7998046875,7443.7998046875,7536.7998046875,7536.7998046875,200800
9,2016-01-15,7561.64990234375,7566.5,7427.2998046875,7437.7998046875,7437.7998046875,197500
10,2016-01-18,7420.35009765625,7463.64990234375,7336.39990234375,7351.0,7351.0,233600
11,2016-01-19,7381.7998046875,7462.75,7364.14990234375,7435.10009765625,7435.10009765625,188300
12,2016-01-20,7357.0,7470.89990234375,7241.5,7309.2998046875,7309.2998046875,225600
13,2016-01-21,7376.64990234375,7398.7001953125,7250.0,7276.7998046875,7276.7998046875,240700
14,2016-01-22,7355.7001953125,7433.39990234375,7327.60009765625,7422.4501953125,7422.4501953125,229200
15,2016-01-25,7468.75,7487.14990234375,7421.2001953125,7436.14990234375,7436.14990234375,163200
16,2016-01-27,7469.60009765625,7477.89990234375,7419.7001953125,7437.75,7437.75,187600
17,2016-01-28,7426.5,7468.85009765625,7409.60009765625,7424.64990234375,7424.64990234375,274500
18,2016-01-29,7413.35009765625,7575.64990234375,7402.7998046875,7563.5498046875,7563.5498046875,298700
19,2016-02-01,7589.5,7600.4501953125,7541.25,7555.9501953125,7555.9501953125,200400
20,2016-02-02,7566.64990234375,7576.2998046875,7428.0498046875,7455.5498046875,7455.5498046875,230200
21,2016-02-03,7392.4501953125,7419.39990234375,7350.2998046875,7361.7998046875,7361.7998046875,192000
22,2016-02-04,7411.4501953125,7457.0498046875,7365.9501953125,7404.0,7404.0,222700
